Title,Genres,Company,Platform,Rel
MechAssault: Phantom War,Action,,Nintendo DS,2006
Astonishia Story,"Role-Playing (RPG),Strategy",Ubisoft,Sony PSP,2006
B-Boy,Action,Sony,Sony PSP,2006
BattleZone,Action,Atari,Sony PSP,2006
Bounty Hounds,"Action,Strategy",Namco,Sony PSP,2006
Bubble Bobble Evolution,Action,,Sony PSP,2006
MotoGP,"Racing / Driving,Sports",Sony,Sony PSP,2006
OutRun 2006: Coast 2 Coast,Racing / Driving,Sega,Sony PSP,2006
Warhammer: Battle for Atluma,Strategy,Namco,Sony PSP,2006
SBK: Snowboard Kids,"Action,Sports",,Nintendo DS,2006
Tenchu: Dark Secret,Action,Nintendo,Nintendo DS,2006
Dungeon Maker: Hunting Ground,"Action,Role-Playing (RPG)",,Sony PSP,2006
Metal Gear Solid: Digital Graphic Novel,Adventure,Konami,Sony PSP,2006
Star Trek: Tactical Assault,"Action,Strategy",Ubisoft,Sony PSP,2006
Micro Machines V4,"Action,Racing / Driving",,Sony PSP,2006
Platypus,Action,,Sony PSP,2006
Custom Robo Arena,"Action,Role-Playing (RPG)",Nintendo,Nintendo DS,2006
Gurumin: A Monstrous Adventure,Action,,Sony PSP,2006
Spider-Man 3,Action,Ubisoft,Sony PSP,2006
Wii Fit,"Educational,Sports",Nintendo,Nintendo Wii,2007
Halo 3,Action,Microsoft,X360,2007
Call of Duty 4: Modern Warfare,Action,Activision,X360,2007
Super Mario Galaxy,Action,Nintendo,Nintendo Wii,2007
Mario Party DS,"Action,Strategy",Nintendo,Nintendo DS,2007
Mario Party 8,"Action,Strategy",Nintendo,Nintendo Wii,2007
Guitar Hero III: Legends of Rock,"Action,Simulation",Activision,X360,2007
Link's Crossbow Training,Action,Nintendo,Nintendo Wii,2007
Guitar Hero III: Legends of Rock,"Action,Simulation",Activision,Nintendo Wii,2007
Assassin's Creed,Action,Ubisoft,X360,2007
LEGO Star Wars: The Complete Saga,Action,,Nintendo Wii,2007
Call of Duty 4: Modern Warfare,Action,Activision,PlayStation 3,2007
Mario & Sonic at the Olympic Games,"Action,Sports","Nintendo,Sega",Nintendo Wii,2007
LEGO Star Wars: The Complete Saga,"Action,Racing / Driving",,Nintendo DS,2007
Forza Motorsport 2,Racing / Driving,Microsoft,X360,2007
Madden NFL 08,Sports,EA,X360,2007
Guitar Hero II,"Action,Simulation",Activision,X360,2007
Rock Band,"Action,Simulation",,X360,2007
The Legend of Zelda: Phantom Hourglass,Action,Nintendo,Nintendo DS,2007
Pokmon Mystery Dungeon: Explorers of Darkness,Role-Playing (RPG),Nintendo,Nintendo DS,2007
Pokmon Mystery Dungeon: Explorers of Time,Role-Playing (RPG),Nintendo,Nintendo DS,2007
Assassin's Creed,Action,Ubisoft,PlayStation 3,2007
Uncharted: Drake's Fortune,Action,Sony,PlayStation 3,2007
Mass Effect,"Action,Role-Playing (RPG)",Microsoft,X360,2007
Cooking Mama 2: Dinner with Friends,Simulation,,Nintendo DS,2007
BioShock,Action,2K,X360,2007
Super Paper Mario,"Action,Role-Playing (RPG)",Nintendo,Nintendo Wii,2007
Game Party,Action,Midway,Nintendo Wii,2007
Ratchet & Clank: Size Matters,Action,Sony,Sony PSP,2007
Dance Dance Revolution Hottest Party,Action,Konami,Nintendo Wii,2007
Cooking Mama: Cook Off,Simulation,,Nintendo Wii,2007
Gran Turismo 5: Prologue,"Racing / Driving,Simulation",Sony,PlayStation 3,2007
Professor Layton and the Curious Village,"Adventure,Educational,Strategy",Nintendo,Nintendo DS,2007
Resident Evil 4,Action,Capcom,Nintendo Wii,2007
The Elder Scrolls IV: Oblivion,"Action,Role-Playing (RPG)",Ubisoft,PlayStation 3,2007
Transformers: Autobots,"Action,Racing / Driving",Activision,Nintendo DS,2007
Transformers: Decepticons,"Action,Racing / Driving",Activision,Nintendo DS,2007
Diddy Kong Racing DS,"Racing / Driving,Sports",Nintendo,Nintendo DS,2007
Big Brain Academy: Wii Degree,Action,Nintendo,Nintendo Wii,2007
Need for Speed: ProStreet,Racing / Driving,EA,X360,2007
Deal or No Deal,Strategy,,Nintendo DS,2007
LEGO Star Wars: The Complete Saga,Action,,X360,2007
Sonic and the Secret Rings,Action,Sega,Nintendo Wii,2007
The Orange Box,Action,,X360,2007
Crackdown,"Action,Racing / Driving,Role-Playing (RPG)",Microsoft,X360,2007
Rock Band,"Action,Simulation",,PlayStation 3,2007
Tiger Woods PGA Tour 08,Sports,EA,Nintendo Wii,2007
WWE Smackdown vs. Raw 2008,Sports,THQ,X360,2007
Madden NFL 08,Sports,EA,PlayStation 3,2007
Call of Duty 4: Modern Warfare,Action,Activision,Nintendo DS,2007
MySims,"Simulation,Strategy",EA,Nintendo Wii,2007
Mario Strikers Charged,"Action,Sports",Nintendo,Nintendo Wii,2007
Star Wars Battlefront: Renegade Squadron,Action,,Sony PSP,2007
Flash Focus: Vision Training in Minutes a Day,Action,Nintendo,Nintendo DS,2007
Metroid Prime 3: Corruption,Action,Nintendo,Nintendo Wii,2007
Tom Clancy's Ghost Recon: Advanced Warfighter 2...,Action,Ubisoft,X360,2007
Madden NFL 08,Sports,EA,Nintendo Wii,2007
Ratchet & Clank Future: Tools of Destruction,Action,Sony,PlayStation 3,2007
LEGO Star Wars: The Complete Saga,Action,,PlayStation 3,2007
Rayman Raving Rabbids 2,Action,Ubisoft,Nintendo Wii,2007
NBA 2K8 ,Sports,2K,X360,2007
Namco Museum DS,Action,Namco,Nintendo DS,2007
Need for Speed: ProStreet,Racing / Driving,EA,PlayStation 3,2007
Blazing Angels: Squadrons of WWII,Action,Ubisoft,Nintendo Wii,2007
Drawn to Life,Action,THQ,Nintendo DS,2007
EA Playground,"Action,Racing / Driving,Sports",EA,Nintendo Wii,2007
Major League Baseball 2K7,Sports,2K,X360,2007
Resident Evil: The Umbrella Chronicles,Action,"Capcom,Nintendo",Nintendo Wii,2007
NCAA Football 08,Sports,EA,X360,2007
Spectrobes,"Action,Strategy",,Nintendo DS,2007
The Sims 2: Castaway,Simulation,EA,Nintendo DS,2007
WWE Smackdown vs. Raw 2008,Sports,THQ,PlayStation 3,2007
Madden NFL 08,Sports,EA,Sony PSP,2007
NBA Live 08,Sports,EA,PlayStation 3,2007
The Simpsons Game,Action,EA,Nintendo DS,2007
Ace Combat 6: Fires of Liberation,"Action,Simulation",Namco,X360,2007
Heavenly Sword,Action,Sony,PlayStation 3,2007
Ninja Gaiden Sigma,Action,,PlayStation 3,2007
Ben 10: Protector of the Earth,Action,,Nintendo Wii,2007
The Simpsons Game,Action,EA,X360,2007
CrossworDS,"Educational,Strategy",,Nintendo DS,2007
Sonic Rush Adventure,"Action,Sports",Sega,Nintendo DS,2007
Tiger Woods PGA Tour 08,Sports,EA,X360,2007
Tony Hawk's Proving Ground,Sports,Activision,X360,2007
Call of Duty: Roads to Victory,Action,Activision,Sony PSP,2007
Transformers: The Game,Action,Activision,X360,2007
NBA 2K8,Sports,2K,PlayStation 3,2007
Medal of Honor: Heroes 2,Action,EA,Sony PSP,2007
Spider-Man 3,Action,Activision,X360,2007
Tom Clancy's Rainbow Six: Vegas,Action,Ubisoft,PlayStation 3,2007
Need for Speed: ProStreet,Racing / Driving,EA,Nintendo Wii,2007
NBA LIVE 08 ,Sports,EA,X360,2007
Dance Dance Revolution Universe 2,Action,Konami,X360,2007
MX vs. ATV Untamed,Racing / Driving,THQ,X360,2007
Final Fantasy IV,Role-Playing (RPG),SquareEnix,Nintendo DS,2007
NBA Street Homecourt,Sports,EA,X360,2007
The Simpsons Game,Action,EA,Nintendo Wii,2007
Winter Sports: The Ultimate Challenge,"Racing / Driving,Sports",,Nintendo Wii,2007
WWE Smackdown vs. Raw 2008,Sports,THQ,Sony PSP,2007
Tiger Woods PGA Tour 07,Sports,EA,Nintendo Wii,2007
Crash of the Titans,Action,,Nintendo DS,2007
Sonic Rivals 2,Action,Sega,Sony PSP,2007
Boogie,Action,EA,Nintendo Wii,2007
Medal of Honor: Airborne,Action,EA,X360,2007
The Sims 2: Castaway,Simulation,EA,Nintendo Wii,2007
Spider-Man 3,Action,Activision,Nintendo Wii,2007
Lost Odyssey,Role-Playing (RPG),Microsoft,X360,2007
Bee Movie Game,Adventure,Activision,Nintendo DS,2007
Spider-Man 3,Action,Activision,Nintendo DS,2007
Final Fantasy Tactics,"Role-Playing (RPG),Strategy",SquareEnix,Sony PSP,2007
Endless Ocean,Simulation,Nintendo,Nintendo Wii,2007
SingStar,Simulation,Sony,PlayStation 3,2007
Ratatouille,Action,THQ,Nintendo Wii,2007
The Sims 2: Pets,Simulation,EA,Nintendo Wii,2007
Two Worlds,"Action,Role-Playing (RPG)",,X360,2007
Crash of the Titans,Action,,Nintendo Wii,2007
Sonic the Hedgehog,Action,Sega,X360,2007
Mega Man Star Force: Dragon,"Action,Role-Playing (RPG)",Capcom,Nintendo DS,2007
Sonic the Hedgehog,Action,Sega,PlayStation 3,2007
Harry Potter and the Order of the Phoenix,Action,EA,Nintendo Wii,2007
Nicktoons: Attack of the Toybots,Action,THQ,Nintendo Wii,2007
WWE Smackdown vs. Raw 2008,Sports,THQ,Nintendo Wii,2007
The Simpsons Game,Action,EA,PlayStation 3,2007
DiRT,"Racing / Driving,Simulation,Sports",,X360,2007
Kane & Lynch: Dead Men,Action,Eidos,X360,2007
Jam Sessions,"Educational,Simulation",Ubisoft,Nintendo DS,2007
Monster Hunter Freedom 2,"Action,Strategy",Capcom,Sony PSP,2007
Shadowrun,Action,Microsoft,X360,2007
Thrillville: Off the Rails,"Simulation,Strategy",,Nintendo Wii,2007
Tony Hawk's Proving Ground,Sports,Activision,PlayStation 3,2007
My Word Coach,Educational,Ubisoft,Nintendo DS,2007
The World Ends With You,"Action,Adventure,Role-Playing (RPG)",SquareEnix,Nintendo DS,2007
The BIGS,"Action,Simulation,Sports",2K,Nintendo Wii,2007
NCAA Football 08,Sports,EA,PlayStation 3,2007
Final Fantasy Tactics A2: Grimoire of the Rift,"Role-Playing (RPG),Strategy",SquareEnix,Nintendo DS,2007
Beowulf: The Game,Action,Ubisoft,X360,2007
The Darkness,Action,2K,X360,2007
Tom Clancy's Ghost Recon: Advanced Warfighter 2...,Action,Ubisoft,PlayStation 3,2007
Final Fantasy,Role-Playing (RPG),SquareEnix,Sony PSP,2007
Lair,Action,Sony,PlayStation 3,2007
Transformers: The Game,Action,Activision,Nintendo Wii,2007
Command & Conquer 3: Tiberium Wars,Strategy,EA,X360,2007
Overlord,"Action,Strategy",,X360,2007
Diner Dash,Action,,Nintendo DS,2007
Medal of Honor: Heroes 2,Action,EA,Nintendo Wii,2007
MX vs. ATV Untamed,Racing / Driving,THQ,PlayStation 3,2007
Time Crisis 4,Action,Namco,PlayStation 3,2007
Dragon Ball Z: Budokai Tenkaichi 3,Action,Atari,Nintendo Wii,2007
Final Fantasy XII: Revenant Wings,"Role-Playing (RPG),Strategy",SquareEnix,Nintendo DS,2007
SOCOM: U.S. Navy SEALs - Tactical Strike,"Action,Strategy",Sony,Sony PSP,2007
Unreal Tournament III,Action,Midway,PlayStation 3,2007
Bee Movie Game,Action,Activision,Nintendo Wii,2007
Def Jam: Icon,Action,EA,X360,2007
Transformers: The Game,Action,Activision,PlayStation 3,2007
TimeShift,Action,,X360,2007
SSX Blur,Sports,EA,Nintendo Wii,2007
Bleach: The Blade of Fate,Action,Sega,Nintendo DS,2007
EA Playground,"Racing / Driving,Sports",EA,Nintendo DS,2007
Final Fantasy II,Role-Playing (RPG),SquareEnix,Sony PSP,2007
The Eye of Judgment,Strategy,Sony,PlayStation 3,2007
MLB 07: The Show,Sports,Sony,PlayStation 3,2007
Virtua Fighter 5,Action,Sega,PlayStation 3,2007
NiGHTS: Journey of Dreams,Action,Sega,Nintendo Wii,2007
Puzzle Quest: Challenge of the Warlords,"Role-Playing (RPG),Strategy",,Nintendo DS,2007
NBA Live 08,Sports,EA,Sony PSP,2007
Kane & Lynch: Dead Men,Action,Eidos,PlayStation 3,2007
Crash of the Titans,Action,,X360,2007
Harry Potter and the Order of the Phoenix,Action,EA,Nintendo DS,2007
SimCity DS,Simulation,EA,Nintendo DS,2007
Wario: Master of Disguise,Action,Nintendo,Nintendo DS,2007
No More Heroes,"Action,Racing / Driving",Ubisoft,Nintendo Wii,2007
BlackSite: Area 51,Action,Midway,X360,2007
Shrek the Third,Action,Activision,X360,2007
Shrek the Third,Adventure,Activision,Nintendo DS,2007
Surf's Up,"Racing / Driving,Sports",Ubisoft,Nintendo DS,2007
MLB 07: The Show,Sports,Sony,Sony PSP,2007
TMNT,Action,Ubisoft,X360,2007
Spider-Man: Friend or Foe,Action,Activision,X360,2007
Contra 4,Action,Konami,Nintendo DS,2007
Phoenix Wright: Ace Attorney - Trials and Tribu...,"Adventure,Simulation",Capcom,Nintendo DS,2007
Disney Pirates of the Caribbean: At World's End,Action,Disney,Nintendo DS,2007
Dragon Ball Z: Shin Budokai - Another Road,Action,"Atari,Namco",Sony PSP,2007
Spider-Man 3,Action,Activision,PlayStation 3,2007
The Golden Compass,Action,Sega,X360,2007
Stuntman: Ignition,"Action,Racing / Driving",THQ,X360,2007
Chicken Shoot,Action,,Nintendo Wii,2007
Shrek the Third,Action,Activision,Nintendo Wii,2007
DK: Jungle Climber,"Action,Strategy",Nintendo,Nintendo DS,2007
Dragon Quest IV: Chapters of the Chosen,Role-Playing (RPG),SquareEnix,Nintendo DS,2007
300: March to Glory,Action,Eidos,Sony PSP,2007
Fire Emblem: Radiant Dawn,"Role-Playing (RPG),Strategy",Nintendo,Nintendo Wii,2007
The Golden Compass,Action,Sega,Nintendo Wii,2007
Manhunt 2,Action,Rockstar,Nintendo Wii,2007
NASCAR 08,"Racing / Driving,Sports",EA,X360,2007
Virtua Tennis 3,Sports,Sega,PlayStation 3,2007
All-Pro Football 2K8,Sports,2K,X360,2007
Major League Baseball 2K7,Sports,2K,PlayStation 3,2007
The Warriors,Action,Rockstar,Sony PSP,2007
Ghost Rider,Action,2K,Sony PSP,2007
Tony Hawk's Proving Ground,Sports,Activision,Nintendo Wii,2007
Juiced 2: Hot Import Nights,Racing / Driving,THQ,X360,2007
Juiced 2: Hot Import Nights,Racing / Driving,THQ,Nintendo DS,2007
The Simpsons Game,Action,EA,Sony PSP,2007
Syphon Filter: Logan's Shadow,"Action,Strategy",Sony,Sony PSP,2007
Tiger Woods PGA Tour 08,Sports,EA,PlayStation 3,2007
Ratatouille,Action,THQ,X360,2007
Trauma Center: New Blood,"Action,Simulation",Nintendo,Nintendo Wii,2007
Hotel Dusk: Room 215,Adventure,Nintendo,Nintendo DS,2007
Mega Man ZX Advent,Action,Capcom,Nintendo DS,2007
Silent Hill: 0rigins,Action,Konami,Sony PSP,2007
Harry Potter and the Order of the Phoenix,Action,EA,X360,2007
NHL 08 ,Sports,EA,X360,2007
Castlevania: The Dracula X Chronicles,Action,Konami,Sony PSP,2007
Tony Hawk's Proving Ground,Sports,Activision,Nintendo DS,2007
Jeanne d'Arc,"Role-Playing (RPG),Strategy",Sony,Sony PSP,2007
BWii: Battalion Wars 2,"Action,Simulation,Strategy",Nintendo,Nintendo Wii,2007
Battlestations: Midway,"Action,Strategy",Eidos,X360,2007
Dragon Ball Z: Harukanaru Densetsu,Strategy,Atari,Nintendo DS,2007
Touch the Dead,Action,,Nintendo DS,2007
The Darkness,Action,2K,PlayStation 3,2007
Donkey Kong Barrel Blast,Racing / Driving,Nintendo,Nintendo Wii,2007
The BIGS,"Action,Simulation,Sports",2K,X360,2007
Armored Core 4,Action,Sega,X360,2007
Etrian Odyssey,Role-Playing (RPG),Nintendo,Nintendo DS,2007
Ben 10: Protector of the Earth,Action,,Sony PSP,2007
Tom Clancy's Splinter Cell: Double Agent,"Action,Strategy",Ubisoft,PlayStation 3,2007
Looney Tunes: Acme Arsenal,Action,,Nintendo Wii,2007
Zack & Wiki: Quest for Barbaros' Treasure,Adventure,Capcom,Nintendo Wii,2007
Monster Jam,Sports,Activision,X360,2007
Virtua Fighter 5,Action,Sega,X360,2007
Lunar Knights,Action,Konami,Nintendo DS,2007
Enchanted Arms,Role-Playing (RPG),Ubisoft,PlayStation 3,2007
F.E.A.R.: First Encounter Assault Recon,Action,,PlayStation 3,2007
Folklore,"Action,Role-Playing (RPG)",Sony,PlayStation 3,2007
Juiced 2: Hot Import Nights,Racing / Driving,THQ,PlayStation 3,2007
The Elder Scrolls IV: Shivering Isles,"Action,Role-Playing (RPG)",,X360,2007
NHL 08,Sports,EA,PlayStation 3,2007
NCAA 07 March Madness,Sports,EA,X360,2007
Rayman Raving Rabbids,Action,Ubisoft,X360,2007
Viva Pi$?ata: Party Animals,Racing / Driving,Microsoft,X360,2007
Warriors Orochi,"Action,Role-Playing (RPG)",,X360,2007
Luminous Arc,"Role-Playing (RPG),Strategy",,Nintendo DS,2007
Picross DS,Strategy,Nintendo,Nintendo DS,2007
Harry Potter and the Order of the Phoenix,Action,EA,PlayStation 3,2007
College Hoops 2K7,Sports,2K,PlayStation 3,2007
The BIGS,"Action,Simulation,Sports",2K,PlayStation 3,2007
Stuntman: Ignition,"Action,Racing / Driving",THQ,PlayStation 3,2007
Mortal Kombat: Armageddon,"Action,Racing / Driving",Midway,Nintendo Wii,2007
Def Jam: Icon,Action,EA,PlayStation 3,2007
Soulcalibur Legends,Action,Namco,Nintendo Wii,2007
Surf's Up,Sports,Ubisoft,Nintendo Wii,2007
Planet Puzzle League,Strategy,Nintendo,Nintendo DS,2007
DiRT,"Racing / Driving,Simulation,Sports",,PlayStation 3,2007
TMNT,Action,Ubisoft,Nintendo Wii,2007
Soldier of Fortune: Payback,Action,Activision,X360,2007
Dynasty Warriors: Gundam,Action,Namco,PlayStation 3,2007
Disney Pirates of the Caribbean: At World's End,Action,Disney,PlayStation 3,2007
Bee Movie Game,Action,Activision,X360,2007
Dynasty Warriors: Gundam,Action,Namco,X360,2007
Golden Axe,Action,Sega,X360,2007
Dementium: The Ward,Action,,Nintendo DS,2007
Rondo of Swords,"Role-Playing (RPG),Strategy",,Nintendo DS,2007
Disgaea: Afternoon of Darkness,"Role-Playing (RPG),Strategy",,Sony PSP,2007
NASCAR 08,"Racing / Driving,Sports",EA,PlayStation 3,2007
Dragon Quest Swords: The Masked Queen and the T...,Action,SquareEnix,Nintendo Wii,2007
Call of Juarez,Action,Ubisoft,X360,2007
College Hoops 2K8,Sports,2K,X360,2007
Eternal Sonata,Role-Playing (RPG),Namco,X360,2007
Kingdom Under Fire: Circle of Doom,"Action,Role-Playing (RPG)",Microsoft,X360,2007
Vampire Rain,Action,Microsoft,X360,2007
All-Pro Football 2K8,Sports,2K,PlayStation 3,2007
Mercury Meltdown,Strategy,,Nintendo Wii,2007
Conan,"Action,Adventure",THQ,PlayStation 3,2007
Godzilla: Unleashed,Action,Atari,Nintendo Wii,2007
NBA Live 08,Sports,EA,Nintendo Wii,2007
Conan,"Action,Adventure",THQ,X360,2007
Spider-Man: Friend or Foe,Action,Activision,Nintendo Wii,2007
College Hoops 2K8,Sports,2K,PlayStation 3,2007
NBA 08,Sports,Sony,PlayStation 3,2007
Thrillville: Off the Rails,"Simulation,Strategy",,X360,2007
Geometry Wars: Galaxies,Action,,Nintendo DS,2007
Rayman Raving Rabbids,Action,Ubisoft,Nintendo DS,2007
WordJong,Strategy,,Nintendo DS,2007
"Warhammer 40,000: Squad Command",Strategy,THQ,Sony PSP,2007
Beowulf: The Game,Action,Ubisoft,PlayStation 3,2007
The Golden Compass,Action,Sega,PlayStation 3,2007
Scarface: The World is Yours,"Action,Racing / Driving",,Nintendo Wii,2007
Hot Wheels: Beat That!,"Action,Racing / Driving",Activision,X360,2007
NHL 2K8 ,Sports,2K,X360,2007
NBA Street Homecourt,Sports,EA,PlayStation 3,2007
Geometry Wars: Galaxies,Action,,Nintendo Wii,2007
Final Fantasy: Crystal Chronicles - Echoes of Time,Action,SquareEnix,Nintendo DS,2007
Godzilla Unleashed: Double Smash,Action,Atari,Nintendo DS,2007
MX vs. ATV Untamed,Racing / Driving,THQ,Nintendo DS,2007
WWE SmackDown vs. Raw 2008,Sports,THQ,Nintendo DS,2007
The BIGS,"Action,Simulation,Sports",2K,Sony PSP,2007
Brave Story: New Traveler,Role-Playing (RPG),,Sony PSP,2007
WipEout Pulse,"Action,Racing / Driving",Sony,Sony PSP,2007
TimeShift,Action,,PlayStation 3,2007
Star Trek: Conquest,"Action,Strategy",,Nintendo Wii,2007
Beautiful Katamari,Action,Namco,X360,2007
Hour of Victory,Action,Midway,X360,2007
Fantastic Four: Rise of the Silver Surfer,Action,2K,PlayStation 3,2007
SEGA Rally Revo,"Racing / Driving,Simulation",Sega,X360,2007
7 Wonders of the Ancient World,Strategy,,Nintendo DS,2007
Draglade,Action,,Nintendo DS,2007
Final Fantasy Fables: Chocobo Tales,Action,SquareEnix,Nintendo DS,2007
Marvel Trading Card Game,Strategy,Konami,Nintendo DS,2007
Crazy Taxi: Fare Wars,"Action,Racing / Driving",Sega,Sony PSP,2007
The Golden Compass,Action,Sega,Sony PSP,2007
Harry Potter and the Order of the Phoenix,Action,EA,Sony PSP,2007
Bladestorm: The Hundred Years' War,"Action,Role-Playing (RPG),Strategy",,PlayStation 3,2007
Surf's Up,Sports,Ubisoft,X360,2007
Blazing Angels 2: Secret Missions of WWII,Action,Ubisoft,X360,2007
InuYasha: Secret of the Divine Jewel,Role-Playing (RPG),Namco,Nintendo DS,2007
The Settlers,Strategy,Ubisoft,Nintendo DS,2007
Shrek the Third,Action,Activision,Sony PSP,2007
Ratatouille,Action,THQ,PlayStation 3,2007
Soldier of Fortune: Payback,Action,Activision,PlayStation 3,2007
Heatseeker,Action,,Nintendo Wii,2007
NHL 2K8,Sports,,PlayStation 3,2007
NCAA March Madness 08,Sports,EA,PlayStation 3,2007
Fantastic Four: Rise of the Silver Surfer,Action,2K,X360,2007
Monster Madness: Battle for Suburbia,Action,,X360,2007
Pro Evolution Soccer 2008,Sports,Konami,X360,2007
Blazing Angels 2: Secret Missions of WWII,Action,Ubisoft,PlayStation 3,2007
Cake Mania,Action,,Nintendo DS,2007
River King: Mystic Valley,"Adventure,Simulation,Sports",,Nintendo DS,2007
Touch Detective 2 1/2,Adventure,,Nintendo DS,2007
7 Wonders of the Ancient World,Strategy,,Sony PSP,2007
Brooktown High,Simulation,Konami,Sony PSP,2007
Crush,Action,Sega,Sony PSP,2007
Jackass: The Game,Action,,Sony PSP,2007
The Sims 2: Castaway,Simulation,EA,Sony PSP,2007
Test Drive Unlimited,Racing / Driving,Atari,Sony PSP,2007
Thrillville: Off the Rails,"Simulation,Strategy",,Sony PSP,2007
Victorious Boxers: Revolution,"Action,Simulation,Sports",Ubisoft,Nintendo Wii,2007
Bladestorm: The Hundred Years' War,"Action,Role-Playing (RPG),Strategy",,X360,2007
Looney Tunes: Acme Arsenal,Action,,X360,2007
SEGA Rally Revo,"Racing / Driving,Simulation",Sega,PlayStation 3,2007
Death Jr. and the Science Fair of Doom,Action,Konami,Nintendo DS,2007
Indianapolis 500 Legends,Racing / Driving,,Nintendo DS,2007
Worms: Open Warfare 2,"Action,Strategy",THQ,Nintendo DS,2007
Alien Syndrome,Action,Sega,Sony PSP,2007
BlackSite: Area 51,Action,Midway,PlayStation 3,2007
Code Lyoko: Quest for Infinity,Action,,Nintendo Wii,2007
Super Swing Golf Season 2,Sports,,Nintendo Wii,2007
FlatOut: Ultimate Carnage,Racing / Driving,,X360,2007
Zoids Assault,"Role-Playing (RPG),Strategy",,X360,2007
Alien Syndrome,Action,Sega,Nintendo Wii,2007
Tetris Evolution,Strategy,THQ,X360,2007
Heroes of Mana,Strategy,SquareEnix,Nintendo DS,2007
Myst,Adventure,Midway,Nintendo DS,2007
Coded Arms: Contagion,Action,Konami,Sony PSP,2007
King of Clubs,Sports,,Nintendo Wii,2007
F.E.A.R. Files,Action,,X360,2007
Ontamarama,Action,,Nintendo DS,2007
Retro Game Challenge,"Action,Racing / Driving,Role-Playing (RPG)",Namco,Nintendo DS,2007
Ultimate Mortal Kombat 3,Action,Midway,Nintendo DS,2007
"Warhammer 40,000: Squad Command",Strategy,THQ,Nintendo DS,2007
Juiced 2: Hot Import Nights,Racing / Driving,THQ,Sony PSP,2007
Pursuit Force: Extreme Justice,"Action,Racing / Driving",Sony,Sony PSP,2007
Medal of Honor: Vanguard,Action,EA,Nintendo Wii,2007
World Series of Poker 2008: Battle for the Brac...,Simulation,Activision,X360,2007
Pro Evolution Soccer 2008,Sports,Konami,PlayStation 3,2007
Worms: Open Warfare 2,"Action,Strategy",THQ,Sony PSP,2007
Surf's Up,Sports,Ubisoft,PlayStation 3,2007
Fantastic Four: Rise of the Silver Surfer,Action,2K,Nintendo Wii,2007
Brothers in Arms DS,Action,Ubisoft,Nintendo DS,2007
Bubble Bobble Double Shot,Action,,Nintendo DS,2007
Fantastic Four: Rise of the Silver Surfer,Action,2K,Nintendo DS,2007
Zendoku,"Role-Playing (RPG),Strategy",Eidos,Nintendo DS,2007
Heatseeker,Action,,Sony PSP,2007
Manhunt 2,Action,Rockstar,Sony PSP,2007
SWAT: Target Liberty,"Action,Strategy",,Sony PSP,2007
Anubis II,Action,,Nintendo Wii,2007
Barnyard,"Action,Adventure",THQ,Nintendo Wii,2007
Escape from Bug Island,Action,Eidos,Nintendo Wii,2007
Octomania,"Action,Strategy",,Nintendo Wii,2007
Cabela's Big Game Hunter,"Simulation,Sports",Activision,X360,2007
UEFA Champions League 2006-2007,Sports,EA,X360,2007
Aliens Vs Predator: Requiem,Action,,Sony PSP,2007
NBA 08,Sports,Sony,Sony PSP,2007
Guilty Gear XX ? Core,Action,,Nintendo Wii,2007
Arkanoid DS,Strategy,SquareEnix,Nintendo DS,2007
Code Lyoko,"Action,Adventure",,Nintendo DS,2007
Dynasty Warriors DS: Fighter's Battle,"Action,Strategy",,Nintendo DS,2007
Orcs & Elves,"Action,Role-Playing (RPG)",EA,Nintendo DS,2007
Prism: Light the Way,"Action,Strategy",Eidos,Nintendo DS,2007
